material,Vset,Vreset,dt,endurance,latency,energy
Al2O3,3.531083795542547,-3.79342778270847,5.015949229149272e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.645822204899403,-3.6973694631561664,5.017662427251541e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.3236078866492216,-3.258523412827281,5.0198866492438395e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.4406707677554094,-3.5591842556441615,5.017868261457833e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.660616964309029,-3.873974382549899,5.016734466659023e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,3.780321775040254,-3.8240507064625624,5.0176006900208776e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.5417537165105513,-3.7346752242454473,5.015782588467911e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
HfO2,3.5501225376933583,-3.780037846384316,5.017194289089569e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.1619604241285546,-3.394336132437755,5.01906742202357e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,3.642612446735021,-3.6603055636489614,5.0161043919086915e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
Al2O3,1.242275661426892,-0.9791186708487394,5.0149971207891184e-08,9494787455.80712,1.0122100206899631e-06,6.163505643363987e-11
HfO2,1.4957869440701217,-3.683439705151758,5.018416440160607e-08,362287.1689926989,7.824620240626246e-07,2.905099216743423e-10
Al2O3,3.4832842456240245,-3.5179135959352488,5.0191313693642295e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,1.2667857472247455,-3.4332698770754586,5.018531656496556e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
Al2O3,0.9531395504966695,-3.8639558289804183,5.015301307323713e-08,280235856.79527503,9.839580457082775e-07,2.450192791714212e-10
TiO2,1.4892776564262686,-1.4452032627205025,5.0173088969127225e-08,6507696783.33902,7.689950223266351e-07,2.09683874430322e-10
HfO2,3.539152464765545,-3.6379372968023347,5.016770156435131e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.4981671590030556,-1.036451109670748,5.017873323474498e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
HfO2,3.7576264929729026,-1.095303281813775,5.019017323180065e-08,267819.86404442514,2.038802904280601e-08,1.0818014678504184e-09
HfO2,3.5522524971140266,-3.781185905126147,5.016955566334663e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.5817259246690147,-3.7890385270309674,5.017489368254723e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
HfO2,3.7139721175537863,-3.739684912880152,5.016859494842981e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,1.5923244186874987,-3.4539151451032595,5.0187346070627654e-08,280235856.79527503,7.479059149773093e-09,4.6410253418116554e-10
Al2O3,3.14730755327688,-1.0321064246308618,5.016447037363036e-08,63919970.06626337,2.8878019975309144e-08,1.0700374215161235e-09
HfO2,3.894588620474938,-3.7344179678596867,5.01795311882892e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.5924764943003913,-3.731705469409218,5.0162049656266545e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.800477261200024,-3.8270883925112877,5.017633274380588e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.8610419819276753,-3.820578898885468,5.015453660781469e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
Al2O3,3.2850953800630647,-3.386493779769526,5.016237912837446e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.4431117055747222,-1.199425554894968,5.017610998350234e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
TiO2,3.623278121438175,-3.6218466139274628,5.018517820885978e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
TiO2,3.762868432301124,-0.8749768290017994,5.016676718480696e-08,287133254.63924074,3.7218029547148035e-08,1.1015912418366192e-09
HfO2,3.817449061458988,-3.8308722878368213,5.0196737311817016e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
TiO2,1.3036583154141874,-3.843931055940345,5.017111010166922e-08,256847846.24379814,7.335210341352649e-07,3.5865403702484144e-10
HfO2,3.6859549152782893,-3.7415758350228776,5.0184833170536835e-08,267819.86404442514,8.800213890935993e-10,1.2515494751674794e-09
Al2O3,3.417547109046777,-3.5086047425030866,5.0172601319339545e-08,63919970.06626337,6.260449936235091e-10,1.2534216442539048e-09
TiO2,3.8325928035464987,-3.946511548345502,5.018332545953922e-08,256847846.24379814,1.7440413557778811e-09,1.2505614044311386e-09
